abound   v.充满;富于
crucial   adj.至关重要的, 决定性的;紧要关头的
crude   adj.未提炼的, 粗糙的 
crumple  vt.压皱, 扭弯
crust   n.硬外皮;地壳
cubism   n.立体主义
cue   n.提示, 暗示
culinary  adj.厨房的, 烹调的
cumbersome  adj.笨重的, 难处理的
cunning   adj.狡猾的, 富有心计的;n.狡猾, 诡诈
curator   n.(博物馆等) 馆长
custodian   n.看守人, 保管人
dagger  n.短剑
dart  vt.飞奔，飞快的动作
dash off  水猛冲；感情爆发
daunting   adj.使人畏缩的
deadlock   n.相持不下，僵局
debris   n.1.碎片，碎石 2.废墟，残骸
decadent  adj.颓废的
decent   adj.1.适当的，可接受的;2．得体的，体面的
deceptive  adj.欺骗的，导致误解的
deciduous   adj.每年落叶的
decimal adj.十进制的
deck   n.一副 (纸牌)
declivity   n.倾斜面，斜坡
decree   v.颁布
defecate   v.澄清，净化
defer  v.1.遵从，听从; 2.延期
defiance   n.藐视，公然反抗
deficit   n.赤字
deflect  v.使偏离，使转向
deform   v.使变形
deft   adj.灵巧的, 熟练的
deign   v.赐予，惠允 (做某事)
deity   n.神;被奉若神明的人 (或物)
deliberately  adv.故意地
delirium   n.精神错乱，发狂
deluge   n.大洪水，豪雨
demobilize   v.遗散 (军人) ，使复员
denomination   n.1.宗教组织2.(长度，币值的) 单位
denote  v.指示，表示
dent   n.缺口，凹痕 v.弄凹
depict   v.描绘，雕画;描写，描述
deplete   vt.耗尽, 使衰竭 
deplore   v.悲叹，痛惜
depot   n.货栈, 仓库
depreciation   n.贬值
depredation  n.劫掠，蹂躏
derive   v.1.得到，获取 2.源于，源自
desalination   n.脱盐，淡化
designate   v.指定，选派, 任命
desolate   adj.(地方) 荒凉的
despoil   v.夺取，掠夺
destitute   adj.贫困的，赤贫的
deter  v.吓住；威慑
detergent   n.清洁剂，洗涤剂
deteriorate   v.(使) 恶化，败坏
detest   v.深恶，憎恶
detriment   n.损害，伤害
detrimental   adj.有害的，不利的
devastate   v.毁坏，破坏
deviate   v.越轨，背离
devoid   adj.全无的，缺乏的
devour  v.贪婪地吃，吞食
diagonal   n./adj.对角线(的)
diction   n.措辞；用语
didactic   adj.教诲的，说教的
dignity   n.尊严，高贵
dilapidated   adj.破旧的，倒塌的
digress  v.离题, 脱轨
dilate   v.使膨胀, 使扩大
dilemma   n.左右为难，窘境，困境
dilute   v.冲淡，变淡
dim   adj.1.暗淡的，模糊的2.怀疑的
diminish   v.(使) 减少， (使) 变小
discern  v.辨明，了解
discernible   adj.可辨别的
discerning   adj.有辨识能力的
disciple   n.门徒，追随者
disconcert   vt.使惊惶，使不安
discontented   adj.不满意的，不满足的
discourse  n.演讲，论述
discrete   adj.分开的，不连续的
disgust  vt.呕吐;厌恶 
disinterested   adj.(因不涉及个人利益) 公正的
dismal   adj.忧郁的, 沮丧的;阴暗的, 惨淡的
dismay  n.沮丧, 惊慌v.使惊愕, 使惊慌;使沮丧
dismember   v.肢解;拆卸
disorient  vt.使迷失, 使迷惑
dispatch   v.(紧急) 派遣, 分配n.(紧急) 派遣, 分配
dispensary   n.诊所, 药房
dispense   v.分配, 分发
disperse   v.分散, 疏散
disposition   n.性情
disseminate  v.散布, 传播
dissent   v.不同意, 持异议
dissertation   n.(学位) 论文
dissipate   v.驱散
distill  vt.蒸馏, 提炼, 提取
distinctive   adj.有特色的, 出众的
distort  v.1.弄歪 (形状等) 2.歪曲, 曲解
diverge  v.分歧, 差异
divine  adj.上帝的, 神的, 神圣的
dizziness  n.头昏眼花, 眩晕
doctrine   n.教义, 教旨
dogged  adj.顽强的, 固执的
dogma   n.教条, 教义
dormant adj.静止的, 休眠的
dorsal  adj.背部的, 背脊的
drain   v.(使) 流走, (使) 排光 n.消耗
drastic  adj.激烈的, (药) 猛烈的
dread   n.畏惧, 恐怖
dreary  adj.沉闷的, 乏味的
dribble  v.滴下
drift   v.漂流;漂泊
drought  n.干旱
drowsy  adj.昏昏欲睡的
drudgery   n.苦工, 苦差事
dubious  adj.觉得可疑的, 犹豫不决的  
ductile  adj.(指金属)可锻的, 有韧性的, 延展的
dumb   adj.哑的
dump  v.倾卸, 倾倒
duplicate  adj.完全相同的v.复写, 复制
dutiful adj.恭敬的, 忠实的 
dwell   v.居住, 生活于
dwindle   v.日渐减少, 变小
eccentric   adj.古怪的, 异常的
eclecticism   n.折中主义
eclipse   n.(日, 月) 食v.使失色, 盖过
economize  vi.节俭
edifice   n.宏伟的建筑物
effluent  n.废水, 污水
elicit  v.得出, 引出 (真理等)
eligible  adj.合格的, 有资格的
elixir   n.长生不老药, 仙丹妙药
elliptical   adj.1.椭圆的2.省略的
elongate  v.延长, 伸长
eloquent  adj.有口才的, 雄辩的
elude  v.躲避
emancipate  v.解放, 释放
embed  v.插入, 镶嵌
embellish  v.装饰, 修饰
emblem  n.象征, 标志;徽章
emboss  v.加浮雕花纹于, 使凸出
embroider  vt.绣花;装饰
embryo   n.胚胎, 事物的萌芽期
eminent   adj.著名的, 显著的
emissary   n.信使
emission   n.1.(光, 热等的) 发出, 发射2.发出物
emulate   v.努力赶上 (或超过), 仿效
enact   v.制定 (法律)
encase  v.围住, 包起
encompass   v.包括;包围
encroach  v.侵占, 蚕食
endeavor   v.尝试, 努力n.努力, 尽力
endemic   adj.地方性的;当地的
endorse   v.赞同, 支持
endow   v.1.捐赠2.赋予
engrave   v.雕上, 刻上
entail   vt.使必须, 使承担
entangle  v.缠住;使陷入困境
entice  vt.怂勇, 引诱
entrenched   adj.确立的, 稳固的
entreat  v.恳求, 乞求
entrepreneur n.企业家, 创业人 
envision  v.想象, 预想
epic   n.史诗, 叙事诗
epidemic   n.传染病
epoch   n.纪元, 时代
equilibrium   n.(敌对之间) 均衡;(情感) 平衡
equitable  adj.公平的, 公正的
equivocate   v.模棱两可地说, 支吾
eradicate   v.根除, 杜绝
erect   v.使...直立, 竖立;建立, 创立
erode   n.腐蚀, 侵蚀
erratic   adj.古怪的;(运动或行为) 不规则的
escalate   v.升级, 逐步增强
ethereal   adj.灵巧的
ethics   n.伦理学
etiquette  n.礼仪, 礼节
eviscerate   v.取出肠及内脏
exacting   adj.费力的;苛求的, 要求严格的
exalt   v.(高度) 赞扬, 歌颂
exalted   adj.崇高的, 高贵的
exasperate   v.激怒, 使恼怒
excavate  v.挖掘, 挖出
excess   adj.过度的, 额外的n.过量, 超过
excursion   n.远足, 游览
exemplary   adj.模范的, 典范的, 可仿效的
exert   v.运用, 行使, 施加
exhale   vt.呼出, 呼气
exhilarating  adj.使人兴奋的
exempt  adj.被免除的
exile   vt.流放
exorbitant  adj.(指价格、索价等) 过高的, 昂贵的
exotic   adj.1.外来的, 从国外引进的;异国情调的2.奇异的, 吸引人的
expedition  n.远征
expertise   n.专门技能
explicit  adj.明确的, 清楚的
exponent  n.指数
expressly   adv.特意地, 专门
exterior  n.外部, 外表
exterminate  v.根除, 灭绝
extol   v.赞美
exuberant  adj.(人) 充满活力的
exult   vi.非常高兴, 欢跃 
fabric   n.1.织物, 布2.结构, 构造
fabricate   v.制造;伪造
facade   n.1.(建筑物的) 表面2.(尤指给人假象的) 表面, 外观
facet   n.(问题等的) 方面
facilitate   v.使容易, 有助于, 促进
facsimile   n.复制, 膺品
faction   n.派别, 宗派, 小集团
distaste   n.讨厌, 嫌恶
factual  adj.事实的, 实际的
faculty   n.1.教职工总称2.才能，能力
falcon   n.【动】 (猎鸟用的) 猎鹰
fallacious   adj.谬误的, 靠不住的
famine   n.饥荒, 饥饿
fanatic  adj.(常贬) (宗教或政治信仰等方面) 狂热的
fanfare   n.宏大的场面
farce   n.闹剧, 滑稽剧
fateful   adj.重大的, 决定性的
faucet   n.水龙头
fauna  n.动物群, 动物区系
feeble  adj.虚弱的, 衰弱的
ferment   v.(使) 发酵 n.骚动, 动乱
fervor   n.热情, 热烈, 炽热
feud  n.世仇
feverish   adj.1.发烧的 2.兴奋的
fidelity  n.忠实, 忠诚
figurehead  n.装饰船头的雕像, 破浪神
finch   n.鸣禽
finesse   n.精密技巧, 灵巧;手腕
flabby  adj.(肌肉等) 不结实的, 松弛的
flair   n.才能, 本领
flamboyant  adj.艳丽的, 炫耀的
flare  n.闪光, 闪耀v.闪光, 闪耀
flatter   v.奉承, 谄媚
fleeting  adj.短暂的, 飞逝的
flicker   v.闪烁, 摇曳
flint   n.打火石
flora  n.某一地区或时期的植物总称
flock  n.(禽、畜等的) 群, 大量 v.蜂拥, 群集
flounder   n.比目鱼 v.挣扎
fluctuate  v.波动, 起伏 
fluffy   adj.绒毛的, 松软的
fluorescent   adj.荧光的
flux  n.变迁;涨潮
foe   n.敌人, 敌军
foliage  n.树叶, 植物
folklore   n.民俗学, 民间传说
folly   n.愚笨, 愚蠢
foment   v.煽动, 助长
forage   v.搜寻 (食物) n.(牛马的) 饲料
foray  n.突袭, 偷袭
ford   n.浅滩, 水浅可涉处
foreshadow  v.预示
forestall     v.预防, 预先阻止
forfeit   v.(因过失而) 丧失
forsake   v.遗弃, 抛弃;誓绝
fort  n.要塞, 堡垒
forte  n.长处, 特长
fortuitous   adj.偶然的, 意外的
foster   v.1.养育, 抚养 2.鼓励, 促进
foul   adj.恶臭的
fraction n.小部分, 少量
fracture   n.骨折 v.断裂
fray   v.磨损, 磨破 n.吵架, 冲突
freight   n.船货, 货运 vt.装货, 运送
frenetic   adj.狂乱的, 发狂的
frenzy   n.狂乱, 狂暴
fresco   n.壁画 v.做壁画
friction   n.1.摩擦 2.冲突, 不和
frigid   adj.1.严寒的 2.态度冷淡的, 不友好的
fringe  n.边缘；边界 adj.边缘的, 额外的
frivolity   n.轻浮
frost   n.霜；霜冻 v.结霜
frown   v.1.不赞成, 反对 2.皱眉
frugal   adj.节约的, 节俭的
fume   n.(浓烈或难闻的) 烟, 气体
fumigate   v.以烟熏消毒
fungi   n.真菌
furious   adj.狂怒的;狂暴的
furnish   v.供应, 提供
fuse   v.熔化；融合
gaiety   n.欢乐的精神, 欢乐的气氛 
gallant  adj.(对女子) 殷勤的;勇敢的, 英勇的
galvanize   v.1.电镀, 镀锌2.激励
gangster   n.暴徒, 歹徒
garb   n.服装, 装束
gauge   v.计量, 评价
gay   adj.明亮的
gazette   n.政府的公报
gem  n.宝石, 珠宝
genial   adj.和蔼可亲的
gibe   v.嘲弄, 讥笑
gilding   n.贴金箔, 镀金
girder   n.大梁 (钢架结构的)
glacial   adj.冰川的, 冰冷的
glazed   adj.装玻璃的, 表面光滑的
glean   v.搜集
gnaw  v.咬, 啃
glossy   adj.平滑的, 有光泽的
glowing   adj.发光的, 明亮的;容光焕发的, 生气勃勃的
glorify   v.美化, 赞扬
gorgeous   adj.绚丽的, 华美的, 极好的
gospel   n.福音
gourmet   n.美食家
graft  vt.嫁接
graphite  n.石墨
grasshopper   n.蚱蜢, 蚂蚱
graze   v.(牲畜) 吃草, 放牧
grease   n.油脂, 滑脂
grind   v.磨碎, 碾碎
grope   v.摸索, 探索
gulf   n.海湾
gulp   v.吞, 一口吞 (下) ;吞咽
gush   v.(使) 涌流
gust   n.1.一阵 (风) 2.(感情的) 爆发
hail   n.冰雹v.致敬, 向...欢呼
hallmark   n.标志, 特征
hamper   v.妨碍, 使困难
haphazard   adj.偶然的, 随便的
harness   vt.利用(河流、瀑布等) 产生动力(尤指电力) n.(全套) 马具
harsh   adj.1.粗糙的；刺耳的 2.严厉的, 严酷的;刻薄的
hatch   v.孵化 
haunt   v.(思想、回忆等) 萦绕心头, 困扰 n.(某人) 常去的地方
hazard   n.危险;公害
haze   n.薄雾
heed   n.关心
heir   n.继承人, 后嗣
hem   n.(衣服或裙子) 褶边, 边缘
herald   v.宣布...的消息, 预示...的来临
heredity   n.遗传
heterogeneous   adj.异类的, 不同的
heyday   n.全盛期
hierarchy  n.阶层, 等级制度
hilly   adj.多小山的, 多坡的
hinder   vt.阻碍, 妨碍
hinge   n.(门等的) 合面, 铰链
hinterland   n.内地, 穷乡僻壤
hoe   v.用锄耕地, 锄
hollow   adj.1.空心的, 凹陷的 2.空洞的 v.形成空洞;挖空, 弄凹 n.洞;山谷
homespun   adj.朴素的
homogenize   v.使均匀, 使一致  
horde   n.一大群
horn   n.(牛、羊等的) 角
hover  v.翱翔;徘徊
hub   n.1.轮轴 2.活动中心
huddle   v.(使) 拥挤, (使) 挤成一团
hue   n.颜色, 色彩
humiliate   v.羞辱, 使丢脸
hump n.驼峰, 圆形隆起之物
hurl  v.用力投掷
husk   n.(果类或谷物的) 外壳
hustle  n.拥挤喧嚷
hygiene   n.卫生
hypersensitive   adj.过份敏感的
hypothesis   n.假设, 假说
icicle   n.冰柱, 冰垂
idyllic   adj.田园诗的
igneous   adj.火成的
ignite  v.点燃, 使燃着
illuminate v.1.照明, 照亮 2.说明, 阐明 
imbibe   v.饮;吸收
imminent   adj.(尤指不愉快的事件) 即将发生的, 临近的
impair  v.损害, 使弱
impartial   adj.公正的, 无偏见的
impasse  n.僵局
impassive  adj.无动于衷的, 冷漠的
impede   v.妨碍, 阻碍;中断
impending   adj.行将发生的, 逼近的
imperative   adj.急需的, 必要的, 强制的 n.命令, 规则；必要的事
impermeable  adj.不可渗透的, 不透水的
impersonal   adj.不受个人感情影响的, 客观的；冷淡的
impersonate   v.模仿, 扮演
impetus  n.推动力, 促进
implement   n.(pl.)工具, 器具 v.实行, 实施
implicit   adj.不明确的, 含蓄的
impose  v.1.强加 2.征税
imposing   adj.气势雄伟的, 威严的
impoverished  adj.贫穷的
imprint n.印象, 特征 v.留下烙印
inadvertent   adj.不注意的, 不小心地
inaugurate   v.1.开始；创新, 开辟2.使就职
incense   n.熏香, 熏香的烟 vt.激怒
incentive   n.刺激, 动机
incessant   adj.不停的, 连续的
incinerate   vi.把...烧成灰, 烧弃
incisive   adj.深刻的, 尖锐的
inclination   n.嗜好, 倾向
incongruity   n.不一致, 不和谐 (之物)
incongruous  adj.不协调的, 不一致的
incur  v.招致, 引起
indent   v.切割成锯齿状
indigenous   adj.本地生长的, 本土的
indifferent   adj.不感兴趣的, 漠不关心的
indigestion   n.消化不良
indiscriminate   adj.不加选择的
indistinct   adj.不清楚的, 模糊的
induce   v.导致, 引起, 诱使
industrious   adj.勤勉的
ineligible adj.无资格的;不适当的 
inept   adj.不称职的
inert   adj.惰性的;不活泼的
inextricably  adv.无法摆脱地, 纠缠地
infest   v.骚扰, 大批滋生
infiltrate   v.渗透
infinitesimal   adj.微量的
inflict   v.造成；使遭受 (痛苦, 损伤等)
influx  n.流入, 汇集
infuriate   v.激怒
infuse  vt.灌输
inherent  adj.固有的, 内在的
inhale   v.吸气
injurious  adj.侮辱的, 诽谤的;有害的
innate  adj.先天的
innocuous  adj.无害的
inordinate  adj.过度的, 过分的
inorganic chemical  无机化合物
insulation   n.隔离;孤立
insurmountable   adj.不能克服的, 不能超越的
intact  adj.无损伤的, 完整的
intentionally   adv.有意地, 特意地
interlocking  adj.联锁的, 关联的
intermittent   adj.间歇的
intersect   vi.相交
intoxication   n.醉酒
intimidate   vt.使...害怕
intramural   adj.校内的, 内部的
intrepid   adj.勇敢的
intricate  adj.复杂难懂的
intrigue  vt.激起...的兴趣
intrinsic   adj.固有的, 内在的
introspective   adj.自省的, 反省的
intrude   v.闯入, 侵入
inundate   v.淹没
inventory   n.存货清单;库存品
invert  vt.倒转
invertebrate   n./adj.无脊椎动物 (的)
inviting   adj.诱人的；引人注目的
irate   adj.生气的, 发怒的
irreverent   adj.不恭敬的 
irreversible   adj.不可更改的；不可撤消的
irrevocable   adj.不能取消的, 最后的
irrigate   vt.灌溉
irritable   adj.易怒的, 急躁的
irritating  adj.引起疼痛的;令人生气的;有伤害的
itinerant   adj.巡回的
jelly  n.果冻
jeopardize   v.危害
jettison   v.(船舶，飞机等遇难时为减轻重量而) 投弃 (货物), 丢弃
jolt   n.震动；震惊 v.颠簸，弹跳
irreparable   adj.不能挽回的
jubilant   adj.喜悦的, 喜洋洋的
judicious   adj.有判断力的, 明智的
jumble   v.揉杂，混杂 n.混乱, 混乱的一堆
jurisdiction   n.权限;管辖范围
juvenile   n./adj.青少年 (的) ;不成熟，未完全发展 (的)
juxtaposition   n.毗邻, 并置, 并列
ken   n.视野, 知识领域
kernel  n.(去壳的) 麦粒, 谷粒
kerosene  n.煤油
kiln   n.(砖, 石灰等的) 窑, 炉
kindle   v.1.燃起 2.激起
kinetic   adj.(运) 动的;动力 (学) 的
laborious   adj.费力的，艰难的
labyrinth   n.迷宫;错综复杂之事件
lacquer  vt.用漆涂于..., 使表面光泽
lag   v.落后
lace  n.1.饰带, 花边 2.(绑东西的) 带子；鞋带 v.装饰，点缀
lament   v.为...悲痛, 痛惜
languid   adj.没精打采的，怠倦的
larynx   n.喉(气管的上下)
lash   v.抽打，鞭打
latent   adj.潜伏的
laud   v.称赞
laurel  n.月桂树
lava   n.熔岩，岩浆
lawn   n.草地，草坪，草场
leak  vt.1.漏；渗 2.泄露
lease   n.租约 v.出租, 租借 
ledge   n.建筑物或岩石的突出部分
legible   adj.(指印刷或字迹) 清楚的，易读的
legume   n.豆类，豆荚
leopard   n.豹, 美洲豹
lenient   adj.宽大的，仁慈的
lethal   adj.致命的
lethargic   adj.昏睡的，懒洋洋的，委靡不振的
libel   n.诽谤 (法律用语)
limb  n.肢, 翼
limber   adj.柔软的
limp   v.跛行 adj.无力的，松软的
lineage  n.血统，世系
linen   n.亚麻布, 亚麻制品
listless   adj.无精打采的，倦怠的
